LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
project member	ProjectMember	Individual	http://w3id.org/nfdi4ing/metadata4ing#ProjectMember			
Property	Property	Class	http://www.molmod.info/semantics/pims-ii.ttl#Property			
dataset series	DatasetSeries	Class	http://www.w3.org/ns/dcat#DatasetSeries			
editor	Editor	Individual	http://w3id.org/nfdi4ing/metadata4ing#Editor			
is property of	isPropertyOf	ObjectProperty	http://www.w3.org/ns/ssn/isPropertyOf			
has parameter	hasParameter	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#hasParameter			
closeMatch	closeMatch	AnnotationProperty	http://www.w3.org/2004/02/skos/core#closeMatch			
has date assignment deleted	hasDateAssignmentDeleted	DatatypeProperty	http://w3id.org/nfdi4ing/metadata4ing#hasDateAssignmentDeleted			
media type	mediaType	ObjectProperty	http://www.w3.org/ns/dcat#mediaType			
wird implementiert durch	implementedBy	ObjectProperty	http://www.w3.org/ns/ssn/implementedBy			
ist Zuweisung in Bezug auf	isAssignmentFor	ObjectProperty	http://www.molmod.info/semantics/pims-ii.ttl#isAssignmentFor			
ist unmittelbare Voraussetzung für Schritt	RO_0002090	ObjectProperty	http://purl.obolibrary.org/obo/RO_0002090			
has coverage interval	hasCoverageInterval	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#hasCoverageInterval			
Rolle des Akteurs	Role	Class	http://www.w3.org/ns/prov#Role			
data manager	DataManager	Individual	http://w3id.org/nfdi4ing/metadata4ing#DataManager			
Messeinheit	EMMO_b081b346_7279_46ef_9a3d_2c088fcd79f4	Class	http://emmo.info/emmo#EMMO_b081b346_7279_46ef_9a3d_2c088fcd79f4			
Gruppe	Group	Class	http://xmlns.com/foaf/0.1/Group			A class of Agents.
hat Teilnehmer	RO_0000057	ObjectProperty	http://purl.obolibrary.org/obo/RO_0000057			
qualified association	qualifiedAssociation	ObjectProperty	http://www.w3.org/ns/prov#qualifiedAssociation			
beginnt mit	RO_0002224	ObjectProperty	http://purl.obolibrary.org/obo/RO_0002224	started by		
status	status	AnnotationProperty	http://purl.org/ontology/bibo/status			
Projekt	Project	Class	https://schema.org/Project			An enterprise (potentially individual but typically collaborative), planned to achieve a particular aim
dataset	Dataset	Class	http://www.w3.org/ns/dcat#Dataset			A collection of data, published or curated by a single source, and available for access or download in one or more representations.
has project ID	projectReferenceID	DatatypeProperty	http://w3id.org/nfdi4ing/metadata4ing#projectReferenceID			
has output	RO_0002234	ObjectProperty	http://purl.obolibrary.org/obo/RO_0002234			
publisher	publisher	AnnotationProperty	http://purl.org/dc/terms/publisher			
process	BFO_0000015	Class	http://purl.obolibrary.org/obo/BFO_0000015			
is admissible value for	isAdmissibleValueFor	ObjectProperty	http://www.molmod.info/semantics/pims-ii.ttl#isAdmissibleValueFor			
Arbeitsschritt	ProcessingStep	Class	http://w3id.org/nfdi4ing/metadata4ing#ProcessingStep			
has interval maximum	hasIntervalMax	DatatypeProperty	https://ptb.de/si/hasIntervalMax			
data curator	DataCurator	Individual	http://w3id.org/nfdi4ing/metadata4ing#DataCurator			
hat Überdeckungsfaktor	hasCoverageFactor	DatatypeProperty	https://ptb.de/si/hasCoverageFactor			
Nachname	lastName	DatatypeProperty	http://xmlns.com/foaf/0.1/lastName			The last name of a person.
hat Datumszuweisung gültig ab	hasDateAssignmentValidFrom	DatatypeProperty	http://w3id.org/nfdi4ing/metadata4ing#hasDateAssignmentValidFrom			
räumliche Auflösung (in Metern)	spatialResolutionInMeters	DatatypeProperty	http://www.w3.org/ns/dcat#spatialResolutionInMeters			
has distribution	distribution	ObjectProperty	http://www.w3.org/ns/dcat#distribution			
Organisation	Organization	Class	http://xmlns.com/foaf/0.1/Organization			An organization.
Verknüpfung	Association	Class	http://www.w3.org/ns/prov#Association			An instance of prov:Association provides additional descriptions about the binary prov:wasAssociatedWith relation from an prov:Activity to some prov:Agent that had some responsiblity for it. For example, :baking prov:wasAssociatedWith :baker; prov:qualifiedssociation [ a prov:Association; prov:agent :baker; :foo :bar ].
Projektleiter*in	ProjectLeader	Individual	http://w3id.org/nfdi4ing/metadata4ing#ProjectLeader			
Organisationszugehörigkeit	affiliation	AnnotationProperty	https://schema.org/affiliation			An organization that this person is affiliated with. For example, a school/university, a club, or a team.
part of	BFO_0000050	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000050			
is value in assignment	isValueInAssignment	ObjectProperty	http://www.molmod.info/semantics/pims-ii.ttl#isValueInAssignment			
realisiert in	BFO_0000054	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000054			Paraphrase of elucidation: a relation between a realizable entity and a process, where there is some material entity that is bearer of the realizable entity and participates in the process, and the realizable entity comes to be realized in the course of the process
producer	Producer	Individual	http://w3id.org/nfdi4ing/metadata4ing#Producer			
license	license	AnnotationProperty	http://purl.org/dc/terms/license			
hat Unsicherheitsdeklaration	hasUncertaintyDeclaration	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#hasUncertaintyDeclaration			
investigates property	investigatesProperty	ObjectProperty	http://w3id.org/nfdi4ing/metadata4ing#investigatesProperty			
method	Method	Class	http://w3id.org/nfdi4ing/metadata4ing#Method			
hat Datumszuweisung erzeugt	hasDateAssignmentCreated	DatatypeProperty	http://w3id.org/nfdi4ing/metadata4ing#hasDateAssignmentCreated			
funder	funder	AnnotationProperty	https://schema.org/funder			A person or organization that supports (sponsors) something through some kind of financial contribution.
hat Intervallminimum	hasIntervalMin	DatatypeProperty	https://ptb.de/si/hasIntervalMin			
input of	RO_0002352	ObjectProperty	http://purl.obolibrary.org/obo/RO_0002352			
has distribution	hasDistribution	DatatypeProperty	https://ptb.de/si/hasDistribution			
output of	RO_0002353	ObjectProperty	http://purl.obolibrary.org/obo/RO_0002353			
has part	BFO_0000051	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000051			
Verteilung	Distribution	Class	http://www.w3.org/ns/dcat#Distribution			
Aktivität	Activity	Class	http://www.w3.org/ns/prov#Activity			
created	created	AnnotationProperty	http://purl.org/dc/terms/created			
