IRI,Similarity
https://schema.org/Project,0.8913
http://w3id.org/nfdi4ing/metadata4ing#ProjectLeader,0.8890
http://www.w3.org/ns/prov#qualifiedAssociation,0.8886
http://w3id.org/nfdi4ing/metadata4ing#Supervisor,0.8880
http://w3id.org/nfdi4ing/metadata4ing#ProjectManager,0.8862
http://w3id.org/nfdi4ing/metadata4ing#inProject,0.8841
http://w3id.org/nfdi4ing/metadata4ing#UsageInstruction,0.8838
http://w3id.org/nfdi4ing/metadata4ing#projectParticipant,0.8825
http://w3id.org/nfdi4ing/metadata4ing#ProcessingStep,0.8790
http://w3id.org/nfdi4ing/metadata4ing#ResearchGroup,0.8782
http://www.w3.org/ns/prov#agent,0.8764
http://w3id.org/nfdi4ing/metadata4ing#ProjectMember,0.8756
https://schema.org/ResearchProject,0.8693
http://w3id.org/nfdi4ing/metadata4ing#hasEmployedTool,0.8685
http://w3id.org/nfdi4ing/metadata4ing#isEmployedToolIn,0.8682
http://purl.org/dc/terms/description,0.8664
http://w3id.org/nfdi4ing/metadata4ing#hasVariableDescription,0.8655
http://w3id.org/nfdi4ing/metadata4ing#Editor,0.8650
http://w3id.org/nfdi4ing/metadata4ing#RelatedPerson,0.8649
http://w3id.org/nfdi4ing/metadata4ing#startOfProject,0.8641
