IRI,LABEL,LOCAL,TYPE,SOURCE,LINK,ALT_LABELS,SYNONYMS,COMMENT
https://w3id.org/pmd/co/input,input,input,ObjectProperty,Pattern : pmdcore / requirement2 / pmdcore_STAR_none,patterns/pmdcore/requirement2/pmdcore_STAR_none/,has input,,
https://w3id.org/pmd/co/input,input,input,ObjectProperty,Pattern : pmdcore / requirement3 / pmdcore_STAR_none,patterns/pmdcore/requirement3/pmdcore_STAR_none/,has input,,
http://purl.obolibrary.org/obo/RO_0002352,input of,RO_0002352,ObjectProperty,Ontology : m4i,ontologies/m4i/,,,
https://w3id.org/pmd/co/inputOf,input of,inputOf,ObjectProperty,Ontology : pmdcore,ontologies/pmdcore/,is input of,,
https://w3id.org/pmd/co/inputOf,input of,inputOf,ObjectProperty,Pattern : pmdcore / requirement1 / pmdcore_STAR_none,patterns/pmdcore/requirement1/pmdcore_STAR_none/,is input of,,
https://w3id.org/pmd/co/inputOf,input of,inputOf,ObjectProperty,Pattern : pmdcore / requirement2 / pmdcore_STAR_none,patterns/pmdcore/requirement2/pmdcore_STAR_none/,is input of,,
https://w3id.org/pmd/co/inputOf,input of,inputOf,ObjectProperty,Pattern : pmdcore / requirement3 / pmdcore_STAR_none,patterns/pmdcore/requirement3/pmdcore_STAR_none/,is input of,,
https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#InputFile,InputFile,InputFile,Class,Ontology : BWMD,ontologies/BWMD/,,,"An input file is a file with no specific file ending, that is used as input for a simulation"
https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#InputFileGeneration,InputFileGeneration,InputFileGeneration,Class,Ontology : BWMD,ontologies/BWMD/,,,The process of generating an input file for a simulation
https://www.irit.fr/recherches/MELODI/ontologies/BBO#InputOutputBinding,InputOutputBinding,InputOutputBinding,Class,Ontology : BBO,ontologies/BBO/,,,"When a CallableElement is exposed as a Service, it has to define one or more InputOutputBinding elements. An InputOutputBinding element binds one Input and one Output of the InputOutputSpecification to an Operation of a Service Interface."
https://www.irit.fr/recherches/MELODI/ontologies/BBO#InputOutputSpecification,InputOutputSpecification,InputOutputSpecification,Class,Ontology : BBO,ontologies/BBO/,,,/
https://www.irit.fr/recherches/MELODI/ontologies/BBO#InputSet,InputSet,InputSet,Class,Ontology : BBO,ontologies/BBO/,,,"An InputSet is a collection of Resource elements that together define a valid set of Resources  for an InputOutputSpecification. An InputOutputSpecification MUST have at least one InputSet element. An InputSet MAY reference zero or more Resource elements. A single Resource MAY be associated with multiple InputSet elements, but it MUST always be referenced by at least one InputSet."
https://w3id.org/pmd/co/InspectionDocument,Inspection Document,InspectionDocument,Class,Ontology : pmdcore,ontologies/pmdcore/,,,
http://emmo.info/emmo#EMMO_3967de47_343f_4bab_aada_b4bec73d11da,InspectionDevice,EMMO_3967de47_343f_4bab_aada_b4bec73d11da,Class,Ontology : GPO,ontologies/GPO/,,,
http://purl.org/wild/vocab#Instance,Instance,Instance,Class,Ontology : WILD,ontologies/WILD/,,,
http://purl.org/wild/vocab#instanceOf,instanceOf,instanceOf,AnnotationProperty,Ontology : WILD,ontologies/WILD/,,,
http://purl.org/wild/vocab#InstanceState,InstanceState,InstanceState,Class,Ontology : WILD,ontologies/WILD/,,,
http://www.w3.org/ns/prov#InstantaneousEvent,Instantaneous Event,InstantaneousEvent,Class,Ontology : pko,ontologies/pko/,,,
http://www.w3.org/ns/prov#InstantaneousEvent,InstantaneousEvent,InstantaneousEvent,Class,Ontology : opmw,ontologies/opmw/,,,"An instantaneous event, or event for short, happens in the world and marks a change in the world, in its activities and in its entities. The term 'event' is commonly used in process algebra with a similar meaning. Events represent communications or interactions; they are assumed to be atomic and instantaneous."
https://www.irit.fr/recherches/MELODI/ontologies/BBO#instantiate,instantiate,instantiate,DatatypeProperty,Ontology : BBO,ontologies/BBO/,,,"When true, receipt of one of the Events will instantiate the Process instance."
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001033,institution list,NFDI_0001033,Class,Ontology : mwo,ontologies/mwo/,,,A part of a document that has parts that are institution identifications associated with the authors of the document
http://purl.obolibrary.org/obo/IAO_0000303,institutional identification,IAO_0000303,Class,Ontology : mwo,ontologies/mwo/,,,
http://www.geneontology.org/formats/oboInOwl#inSubset,inSubset,inSubset,AnnotationProperty,Ontology : mwo,ontologies/mwo/,,,
https://schema.org/Intangible,Intangible,Intangible,Class,Ontology : m4i,ontologies/m4i/,,,
http://emmo.info/emmo#EMMO_f8bd64d5_5d3e_4ad4_a46e_c30714fecb7f,Integer,EMMO_f8bd64d5_5d3e_4ad4_a46e_c30714fecb7f,Class,Ontology : GPO,ontologies/GPO/,,,
http://www.w3.org/2001/XMLSchema#integer,integer,integer,Entity,Pattern : stato / requirement2 / stato_STAR_none,patterns/stato/requirement2/stato_STAR_none/,,,
https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#IntegratedHeatingFurnace,IntegratedHeatingFurnace,IntegratedHeatingFurnace,Class,Ontology : BWMD,ontologies/BWMD/,,,"A heating furnace, that is integrated in the casting machine"
http://emmo.info/emmo#EMMO_602397bd_e302_42a6_be33_fe67ea81933a,Intensive,EMMO_602397bd_e302_42a6_be33_fe67ea81933a,Class,Ontology : GPO,ontologies/GPO/,,,Note that not all physical quantities can be categorised as being either intensive or extensive. For example the square root of the mass.
http://emmo.info/emmo#EMMO_bafc17b5_9be4_4823_8bbe_ab4e90b6738c,IntentionalProcess,EMMO_bafc17b5_9be4_4823_8bbe_ab4e90b6738c,Class,Ontology : GPO,ontologies/GPO/,DesignedProcess | Project,,
http://purl.obolibrary.org/obo/STATO_0000164,inter quartile range,STATO_0000164,Class,Ontology : stato,ontologies/stato/,,,
http://meta_model/fundamental_concepts/fundamental_concepts.owl#inter-objectRelation,inter-objectRelation,inter-objectRelation,ObjectProperty,Ontology : OntoCAPE,ontologies/OntoCAPE/,,,
