IRI,Similarity
https://gpo.ontology.link/GPO_2680e8c9_b5d0_4d50_9a33_52e4270669d8,0.5273
http://emmo.info/emmo#EMMO_82fc8506_1f84_4add_9683_abea077bd1e3,0.4814
http://emmo.info/emmo#EMMO_4f226cf3_6d02_4d35_8566_a9e641bc6ff3,0.4747
http://emmo.info/emmo#EMMO_4d2ca841_6cb1_4710_a756_5b989746bca2,0.4385
http://emmo.info/emmo#EMMO_49804605_c0fe_4538_abda_f70ba1dc8a5d,0.4156
https://gpo.ontology.link/GPO_ee8c37fd_9f2c_4047_b25d_4149894bd7c0,0.4119
http://emmo.info/emmo#EMMO_ae2d1a96_bfa1_409a_a7d2_03d69e8a125a,0.4100
http://emmo.info/emmo#EMMO_c74da218_9147_4f03_92d1_8894abca55f3,0.4003
